Genome_Med	35869530	2022	null https://www.rcsb.org 302 null https://www.uniprot.org 301 here https://swissmodel.expasy.org/repository 302 here https://swissmodel.expasy.org 302 null http://www.sbg.bio.ic.ac.uk/phyre2 307 null https://zhanggroup.org/I-TASSER 405 null https://www.ebi.ac.uk/pdbe/pdbe-kb/protein 301 null https://www.ebi.ac.uk/thornton-srv/databases/VarSite 301 null https://www.ebi.ac.uk/thornton-srv/databases/VarMap 301 null http://missense3d.bc.ic.ac.uk/missense3d 307 null https://alphafold.ebi.ac.uk 301 null http://elm.eu.org 200 
Genome_Med	38185688	2024	NoLink
Genome_Med	38816834	2024	null https://yanglab.westlake.edu.cn/data/ukb_fastgwa/imp/pheno/21001 -1 null https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001GCST005000/GCST004904/ 404 null https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001GCST010000/GCST009057/ 404 null https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001GCST009000/GCST008025/ 404 
Genome_Med	21801463	2011	NoLink
Genome_Med	25984239	2015	NoLink
Genome_Med	38982518	2024	null www.filnemus.fr -1 
Genome_Med	27655340	2016	tool http://hannonlab.cshl.edu/fastx_toolkit/ 200 
Genome_Med	39380090	2024	pipeline https://github.com/genepi/umi-pipeline-nf 301 pipeline https://github.com/genepi/umi-pipeline-nf/tree/v0.2.1 301 pipeline https://github.com/genepi/umi-pipeline-nf/tree/ONT_default_clustering_strategy 301 available https://github.com/AmstlerStephan/haplotyping-KIV2-nf/tree/v0.1.0 301 available https://github.com/AmstlerStephan/UMI-ONT-Seq_Analysis 301 
Genome_Med	30355343	2018	null http://data.teichlab.org 404 null http://data.teichlab.org 404 null http://htseq.readthedocs.io/ 302 
Genome_Med	27655387	2016	NoLink
Genome_Med	26246857	2015	NoLink
Genome_Med	25628760	2015	NoLink
Genome_Med	38087376	2023	NoLink
Genome_Med	26330083	2015	NoLink
Genome_Med	39587617	2024	NoLink
Genome_Med	27716432	2016	null http://www.ebi.ac.uk/ena 301 null https://github.com/sanger-pathogens/mlst_check 301 null http://pubmlst.org/saureus/ 301 tool http://www.sanger.ac.uk/science/tools/smalt-0 301 
Genome_Med	33225976	2020	null https://mygenerank.scripps.edu/blog/post/mgr-new-update -1 null https://www.well.ox.ac.uk/~wrayner/strand/ 302 method https://www.nhlbiwgs.org/sequencing-and-data-processing-methods-freeze3a 301 null www.cog-genomics.org/plink/1.9/ -1 null http://www.pgscatalog.org/browse/studies/ 200 available https://github.com/TorkamaniLab/imputation_accuracy_calculator 301 
Genome_Med	19725943	2009	NoLink
